date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:21	31102/31102	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/checkout-customer-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/checkout-customer-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:21	27550/27550	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/checkout-complete-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/checkout-complete-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:22	47746/47746	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/shortcode.html	D:/duan123/envato.megadrupal.com/html/gofar/shortcode.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:23	24035/24035	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/contact.html	D:/duan123/envato.megadrupal.com/html/gofar/contact.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:23	24049/24049	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/contact-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/contact-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:24	253411/253411	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-3dde3%22	https://envato.megadrupal.com/html/gofar/images/bg/1.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/bg/1.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:25	635834/635834	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-9b3ba%22	https://envato.megadrupal.com/html/gofar/images/bg/2.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/bg/2.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:26	721489/721489	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-b0251%22	https://envato.megadrupal.com/html/gofar/images/bg/3.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/bg/3.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:27	139623/139623	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-22167%22	https://envato.megadrupal.com/html/gofar/images/img/1.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/1.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:28	155747/155747	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-26063%22	https://envato.megadrupal.com/html/gofar/images/img/2.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/2.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:29	617199/617199	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-96aef%22	https://envato.megadrupal.com/html/gofar/images/img/3.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/3.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:30	271952/271952	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-42650%22	https://envato.megadrupal.com/html/gofar/images/img/4.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/4.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:31	219184/219184	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-35830%22	https://envato.megadrupal.com/html/gofar/images/img/5.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/5.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:32	155069/155069	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-25dbd%22	https://envato.megadrupal.com/html/gofar/images/img/6.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/6.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:33	232100/232100	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-38aa4%22	https://envato.megadrupal.com/html/gofar/images/img/7.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/7.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:34	268014/268014	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-416ee%22	https://envato.megadrupal.com/html/gofar/images/img/8.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/8.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:35	200222/200222	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-30e1e%22	https://envato.megadrupal.com/html/gofar/images/img/9.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/img/9.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:36	15128/15128	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-3b18%22	https://envato.megadrupal.com/html/gofar/images/trip/2.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/trip/2.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:37	872/872	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-368%22	https://envato.megadrupal.com/html/gofar/images/trip.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/trip.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:38	20230/20230	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-4f06%22	https://envato.megadrupal.com/html/gofar/images/trip/3.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/trip/3.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:39	19386/19386	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-4bba%22	https://envato.megadrupal.com/html/gofar/images/trip/4.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/trip/4.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:40	13026/13026	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-32e2%22	https://envato.megadrupal.com/html/gofar/images/trip/5.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/trip/5.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:41	13443/13443	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-3483%22	https://envato.megadrupal.com/html/gofar/images/trip/1.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/trip/1.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:42	2693/2693	---M--	200	added ('OK')	image/jpeg	etag:%225d35da9c-a85%22	https://envato.megadrupal.com/html/gofar/images/thumb/40-40.jpg	D:/duan123/envato.megadrupal.com/html/gofar/images/thumb/40-40.jpg	(from https://envato.megadrupal.com/html/gofar/)
08:39:43	1399/1399	---M--	200	added ('OK')	image/png	etag:%225d35da9c-577%22	https://envato.megadrupal.com/html/gofar/images/logo-footer.png	D:/duan123/envato.megadrupal.com/html/gofar/images/logo-footer.png	(from https://envato.megadrupal.com/html/gofar/)
08:39:43	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22600efe61-4d7%22	https://envato.megadrupal.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/duan123/envato.megadrupal.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://envato.megadrupal.com/html/gofar/)
08:39:44	95931/95931	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d35da9c-176bb%22	https://envato.megadrupal.com/html/gofar/js/lib/jquery-1.11.2.min.js	D:/duan123/envato.megadrupal.com/html/gofar/js/lib/jquery-1.11.2.min.js	(from https://envato.megadrupal.com/html/gofar/)
08:39:45	25250/25250	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d35da9c-62a2%22	https://envato.megadrupal.com/html/gofar/js/lib/masonry.pkgd.min.js	D:/duan123/envato.megadrupal.com/html/gofar/js/lib/masonry.pkgd.min.js	(from https://envato.megadrupal.com/html/gofar/)
08:39:46	1770/1770	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d35da9c-6ea%22	https://envato.megadrupal.com/html/gofar/js/lib/jquery.parallax-1.1.3.js	D:/duan123/envato.megadrupal.com/html/gofar/js/lib/jquery.parallax-1.1.3.js	(from https://envato.megadrupal.com/html/gofar/)
08:39:47	54306/54306	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d35da9c-d422%22	https://envato.megadrupal.com/html/gofar/js/lib/jquery.owl.carousel.js	D:/duan123/envato.megadrupal.com/html/gofar/js/lib/jquery.owl.carousel.js	(from https://envato.megadrupal.com/html/gofar/)
08:39:48	3930/3930	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d35da9c-f5a%22	https://envato.megadrupal.com/html/gofar/js/lib/theia-sticky-sidebar.js	D:/duan123/envato.megadrupal.com/html/gofar/js/lib/theia-sticky-sidebar.js	(from https://envato.megadrupal.com/html/gofar/)
08:39:49	20817/20817	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d35da9c-5151%22	https://envato.megadrupal.com/html/gofar/js/lib/jquery.magnific-popup.min.js	D:/duan123/envato.megadrupal.com/html/gofar/js/lib/jquery.magnific-popup.min.js	(from https://envato.megadrupal.com/html/gofar/)
